Class;Co-change-class;Comon-percentage;Common-count;Total(Class)
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ejb/DDCreator.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ejb/Ejbc.java;100.0;3;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/XmlProperty.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;75.0;3;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/helper/ProjectHelper2.java;/ant/core/trunk/src/main/org/apache/tools/ant/helper/ProjectHelperImpl.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ReplaceRegExp.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/types/AbstractFileSet.java;/ant/core/trunk/src/main/org/apache/tools/ant/DirectoryScanner.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/rmic/WLRmic.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter.java;100.0;3;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BuildTimeoutException.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BuildTimeoutException.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BlockFor.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BuildTimeoutException.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BuildTimeoutException.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/WorkerAnt.java;66.66666666666666;2;3
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ANTLR.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/dotnet/NetCommand.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/util/FileUtilsTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;100.0;2;2
